	name	organization	url	url of their twitter	updated twitter account link																															
0	Sebastian Gerke	Ree Technology	https://scholar.google.com/citations?hl=en&user=DeP0anAAAAAJ	https://twitter.com/sebgerke	https://twitter.com/sebgerke	sebasgerke	sebastian01983	sebgerke	sg_gehrke	j_gehrke	atticusjade	TGehrke_	etnc17	lisaboyars	choermoraes																					
1	Yang Liu	"Computer Science, harbin institute of technology"	https://scholar.google.com/citations?hl=en&user=3IC_ZtkAAAAJ	N/A	N/A	yangliu23225415	yangliuxh	YangLiu23225415	liuyanguu	yliu_oe	yang_gp	yliu_UofU	air_tsinghua	sun450gmailcom1	medpedsyl																					
2	Son N. Tran	University of Tasmania	https://scholar.google.com/citations?hl=en&user=h82eCK8AAAAJ	https://twitter.com/sondinhtran	https://twitter.com/sondinhtran	sontran1304	sntran	sondinhtran	sontranthanh	nguyenntrann	drvtran	tranlab_TTU	rj_saintgeorge	tran_truongson	ColinPSweeney																					
3	Massimiliano Ciaramita	Google	https://scholar.google.com/citations?hl=en&user=PwsKWfUAAAAJ	N/A	N/A	sobigdata	sjmielke	fabtar																												
4	Marco Baity-Jesi	Eawag	https://scholar.google.com/citations?hl=en&user=4S1Ajs8AAAAJ	N/A	N/A	peterisles	PhysRevE																													
5	Takuya Funatomi	Nara Institute of Science and Technology	https://scholar.google.com/citations?hl=en&user=OjA6YhgAAAAJ	N/A	N/A	jst_kisokenkyu																														
6	Saurabh Sawlani	SoundHound Inc.	https://scholar.google.com/citations?hl=en&user=u21gfyUAAAAJ	N/A	N/A	mlatgt																														
7	Sanjay Shukla	"Dunnhumby, Gurgaon"	https://scholar.google.com/citations?hl=en&user=VodphbwAAAAJ	N/A	N/A	sanjay_shukla_1	sanjayshuklainc	Sanjayshuklakkv	castingshukla	sanjaycodes	ifssanjay	shuklz	sanjaycrpf	iamshuklasanjay	meartistSanjay																					
8	Ting Wang	East China Normal University	https://scholar.google.com/citations?hl=en&user=05FUpSYAAAAJ	N/A	N/A	twang5	twang5	TingWang233	TingWang233	wtingwt	wting1106	tingfit	UWanglab	riverhilllane																						
9	Stephen Beale	Rensselaer Polytechnic University	https://scholar.google.com/citations?hl=en&user=vtMyXXYAAAAJ	N/A	N/A	stephenbeale	stephenbeale	scbeale1	beale1s	bealepnk90	beale_bealepnk	Shadowheals31	SBeale_Writer	tkb24	BedfordHearing1																					
10	Ziv Epstein	MIT	https://scholar.google.com/citations?hl=en&user=yG7l19UAAAAJ	https://twitter.com/_ziv_e	https://twitter.com/_ziv_e	_ziv_e	medialab																													
11	Tao Wang	Nanjing University	https://scholar.google.com/citations?hl=en&user=TsDufoMAAAAJ	N/A	N/A	taowang27112003	taowang27112003	taowang_tw	TaoWang27112003	taowangcarnegie	TaoWangAg	TangoDr	zpuadqmcdsgw8yc	TAOWANG_RTP																						
12	Rove Chishman	Unisinos	https://scholar.google.com/citations?hl=en&user=M52887sAAAAJ	https://twitter.com/rovechishman	https://twitter.com/rovechishman	rovechishman																														
13	Muhammad Khusairi Osman	"Faculty of Electrical Engineering, Universiti Teknologi MARA (UiTM), Malaysia."	https://scholar.google.com/citations?hl=en&user=xshP6DwAAAAJ	N/A	N/A																															
14	Gang Wang	"Associate Professor, Shanghai University of Finance and Economics"	https://scholar.google.com/citations?hl=en&user=aQMjCHwAAAAJ	N/A	N/A	wanggangasian	ffmagicbean	matter_cp	steeelheart																											
15	Max Jaderberg	DeepMind	https://scholar.google.com/citations?hl=en&user=JeZoMicAAAAJ	https://twitter.com/maxjaderberg	https://twitter.com/maxjaderberg	maxjaderberg	Andrew__Brown__	aosokin_ml	kchonyc																											
16	Samet Memiş	İstanbul Rumeli University	https://scholar.google.com/citations?hl=en&user=8TW7mSYAAAAJ	N/A	N/A	sametmemis34	sametmemis34	sametmemis34	sametmemis34	sametme36751034	samet536	smtmms061																								
17	Bishal Lamichhane	Rice University	https://scholar.google.com/citations?hl=en&user=qEh_v1YAAAAJ	https://twitter.com/bshallamichhane	N/A	bishallamichh11	bishallamichh11	bishall74869821	bishal4225	bishal4225	lbishal_	Tori_lahurey	ABRfun2019	CesarAUribe																						
18	Léa Laporte	"LIRIS, INSA-Lyon"	https://scholar.google.com/citations?hl=en&user=RYtCJBAAAAAJ	N/A	N/A	laportela1	lea_lap	GregLeaFootball	zeuubi	irixys																										
19	Hristo Aladjov	"Associated Proffessor, Bulgarian Academy of Sciences"	https://scholar.google.com/citations?hl=en&user=QCnd4SAAAAAJ	N/A	N/A	QSARI1																														
20	Dr Umar Hayat	"PhD, University of Warwick, UK"	https://scholar.google.com/citations?hl=en&user=4LMxPLsAAAAJ	N/A	N/A	umarhayat2345	documarhayat	umarhayatmd	umarhayatbfd	umarhay92881887	Umeralsohayatt	UmarHayatBajwa	heyumarr																							
21	Alejandro Ojeda	"Brain Vision, Brain Products"	https://scholar.google.com/citations?hl=en&user=sxXZxmMAAAAJ	N/A	N/A	alejandroojeda	alejandrojeda	alejandrojedag	alejandrOjeda98	josealejandroop	ojedaale65	ojedasainz96	993patron																							
22	Zhaohan Daniel Guo	DeepMind	https://scholar.google.com/citations?hl=en&user=fxr_9oQAAAAJ	N/A	N/A	audurand	levesquejc																													
23	Shayan Shams	Assistant Professor at University of Texas Health Science Center at Houston	https://scholar.google.com/citations?hl=en&user=KPB33b8AAAAJ	N/A	N/A	shahyaan2001	sjsuresearch																													
24	Matthew Phillips	LifeOmic	https://scholar.google.com/citations?hl=en&user=nBkeY-IAAAAJ	N/A	N/A	mphillipsmusic	phillipsmat47	Matthew_Photos	MJPhillips	Phillips_M_G	mrphill25	matthewatyou	bigevilboss																							
25	Ali BOYALI	Toyota Technological Institute	https://scholar.google.com/citations?hl=en&user=Dmh5d3wAAAAJ	N/A	N/A	aliboyali3	boyali_ali	boyali_ali	soymilkboyali	youngboyali	GoodBoyAli1	rohomatali	franmatiasbueno																							
26	VICTOR BARRERA NUNEZ	Ernst & Young	https://scholar.google.com/citations?hl=en&user=MB0WzZsAAAAJ	https://twitter.com/vikbar	https://twitter.com/vikbar	VictorRBarreraA	vikbar	BarreraCarpioVM	piscinas_jacuzz	botanical_	nahim1																									
27	Roman Hornung	"University of Munich, Institute for Medical Information Processing, Biometry, and Epidemiology"	https://scholar.google.com/citations?hl=en&user=BXflckQAAAAJ	https://twitter.com/hornungroman	https://twitter.com/hornungroman	hornungroman	HornungRoman	BoulesteixLaure																												
28	Tomáš Hodaň	Research Scientist at Reality Labs	https://scholar.google.com/citations?hl=en&user=GD_VE9oAAAAJ	https://twitter.com/tomhodan	https://twitter.com/tomhodan	tomhodan	lingnima	_abenbihi																												
29	Mudit Agrawal	"PhD, University of Maryland, College Park"	https://scholar.google.com/citations?hl=en&user=4CDW-OwAAAAJ	N/A	N/A	muditagrawal37	mudit_aggarwal	Mudit_Agrwal	mudit_ag_	2mudit	2mudit	2mudit	2mudit	MuditAg29651496	agrwlmudit																					
30	Souvik Hazra	Infineon Technologies	https://scholar.google.com/citations?hl=en&user=p2xud0cAAAAJ	N/A	N/A	souvik_hazra	Souvikhazra99	SouvikHazra47	SouvikHazra47	souvikh04524495	souvikh04524495	hazra_79	hazra_79	SouvikH16295997	SouHaz																					
31	Christopher G. Lucas	University of Edinburgh	https://scholar.google.com/citations?hl=en&user=KS4uI1sAAAAJ	N/A	N/A	chrislucas96	ichrislucas	chrisethanlucas	TophLucas	cfhistorynerd	chriscolbutler	lucasg_nyr	agreeg	SamuelGarcin																						
32	Simon Wells	"Lecturer, Edinburgh Napier University"	https://scholar.google.com/citations?hl=en&user=NJ4EZFwAAAAJ	https://twitter.com/simonwells	https://twitter.com/simonwells	simonwells7	simonwells7	simonwells7	simonwells7	simjimwells	swells80	SiWells	SiWellsy																							
33	Moin Nadeem	Massachusetts Institute of Technology	https://scholar.google.com/citations?hl=en&user=elGHiKkAAAAJ	https://twitter.com/moinnadeem	https://twitter.com/moinnadeem	moinnadeem																														
34	Krystian Wojtkiewicz	Wrocław University of Science and Technology	https://scholar.google.com/citations?hl=en&user=WMy_WZEAAAAJ	https://twitter.com/skokrys	https://twitter.com/skokrys	skokrys																														
35	Augusto Gerolin	"Marie Skłodowska-Curie Fellow, Vrije Universiteit Amsterdam"	https://scholar.google.com/citations?hl=en&user=gG-ud6AAAAAJ	https://twitter.com/agerolin	https://twitter.com/agerolin	agerolin	HMcPhersonMP	uottawaresearch																												
36	Gaurav Sukhatme	"Professor and Fletcher Jones Endowed Chair, Departments of Computer Science and Electrical"	https://scholar.google.com/citations?hl=en&user=lRUi-A8AAAAJ	https://twitter.com/gauravsukhatme	https://twitter.com/gauravsukhatme	gauravsukhatme	sukhatmegaurav	gbambawale	uscresl	USCRESL																										
37	Lihi Zelnik-Manor	Technion - Israel Institute of Technology	https://scholar.google.com/citations?hl=en&user=E_ejWvYAAAAJ	https://twitter.com/OrnaKl	https://twitter.com/OrnaKl	technionusa	SSIMARomania																													
38	Jawad AlKhateeb	Taibah University	https://scholar.google.com/citations?hl=en&user=D1EV1c0AAAAJ	https://twitter.com/jawad_alkhatib	https://twitter.com/jawad_alkhatib	jawad_alkhatib	juicyjd65	jorj1968	search																											
39	Yunzhou Zhang	Northeastern University	https://scholar.google.com/citations?hl=en&user=PtIbZbEAAAAJ	N/A	N/A	YangVanilla	IRENA																													
40	Giona Matasci	MDA	https://scholar.google.com/citations?hl=en&user=zZFmhagAAAAJ	N/A	N/A	irss_ubc																														
