	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates									
0	Sebastian Gerke	Ree Technology	https://scholar.google.com/citations?hl=en&user=DeP0anAAAAAJ	https://twitter.com/sebgerke	https://twitter.com/sebgerke	j_gehrke	j_gehrke	etnc17	innovateSDIRC	lisaboyars	WilsonCenterGEP	ircschools	choermoraes			
1	Yang Liu	"Computer Science, harbin institute of technology"	https://scholar.google.com/citations?hl=en&user=3IC_ZtkAAAAJ	N/A	N/A	air_tsinghua	air_tsinghua									
2	Son N. Tran	University of Tasmania	https://scholar.google.com/citations?hl=en&user=h82eCK8AAAAJ	https://twitter.com/sondinhtran	https://twitter.com/sondinhtran	rj_saintgeorge	TasSchoolMed	alana_mann	rj_saintgeorge	naomiforrest22	thetassiegirl	ColinPSweeney				
3	Massimiliano Ciaramita	Google	https://scholar.google.com/citations?hl=en&user=PwsKWfUAAAAJ	N/A	N/A	sjmielke	sjmielke	sobigdata	fabtar							
4	Marco Baity-Jesi	Eawag	https://scholar.google.com/citations?hl=en&user=4S1Ajs8AAAAJ	N/A	N/A	peterisles	peterisles									
5	Takuya Funatomi	Nara Institute of Science and Technology	https://scholar.google.com/citations?hl=en&user=OjA6YhgAAAAJ	N/A	N/A	jst_kisokenkyu	jst_kisokenkyu									
6	Saurabh Sawlani	SoundHound Inc.	https://scholar.google.com/citations?hl=en&user=u21gfyUAAAAJ	N/A	N/A	mlatgt	mlatgt									
7	Sanjay Shukla	"Dunnhumby, Gurgaon"	https://scholar.google.com/citations?hl=en&user=VodphbwAAAAJ	N/A	N/A	shairachowdhary	shairachowdhary									
8	Ting Wang	East China Normal University	https://scholar.google.com/citations?hl=en&user=05FUpSYAAAAJ	N/A	N/A	twang5	twang5									
9	Stephen Beale	Rensselaer Polytechnic University	https://scholar.google.com/citations?hl=en&user=vtMyXXYAAAAJ	N/A	N/A	optimistleader	optimistleader									
10	Ziv Epstein	MIT	https://scholar.google.com/citations?hl=en&user=yG7l19UAAAAJ	https://twitter.com/_ziv_e	https://twitter.com/_ziv_e	medialab	medialab									
11	Tao Wang	Nanjing University	https://scholar.google.com/citations?hl=en&user=TsDufoMAAAAJ	N/A	N/A	zpuadqmcdsgw8yc	zpuadqmcdsgw8yc									
12	Rove Chishman	Unisinos	https://scholar.google.com/citations?hl=en&user=M52887sAAAAJ	https://twitter.com/rovechishman	https://twitter.com/rovechishman	rovechishman	rovechishman									
13	Muhammad Khusairi Osman	"Faculty of Electrical Engineering, Universiti Teknologi MARA (UiTM), Malaysia."	https://scholar.google.com/citations?hl=en&user=xshP6DwAAAAJ	N/A	N/A	N/A										
14	Gang Wang	"Associate Professor, Shanghai University of Finance and Economics"	https://scholar.google.com/citations?hl=en&user=aQMjCHwAAAAJ	N/A	N/A	N/A										
15	Max Jaderberg	DeepMind	https://scholar.google.com/citations?hl=en&user=JeZoMicAAAAJ	https://twitter.com/maxjaderberg	https://twitter.com/maxjaderberg	Andrew__Brown__	Andrew__Brown__									
16	Samet Memiş	İstanbul Rumeli University	https://scholar.google.com/citations?hl=en&user=8TW7mSYAAAAJ	N/A	N/A	N/A	hgcva									
17	Bishal Lamichhane	Rice University	https://scholar.google.com/citations?hl=en&user=qEh_v1YAAAAJ	https://twitter.com/bshallamichhane	N/A	N/A	CesarAUribe									
18	Léa Laporte	"LIRIS, INSA-Lyon"	https://scholar.google.com/citations?hl=en&user=RYtCJBAAAAAJ	N/A	N/A	marionshdc	marionshdc									
19	Hristo Aladjov	"Associated Proffessor, Bulgarian Academy of Sciences"	https://scholar.google.com/citations?hl=en&user=QCnd4SAAAAAJ	N/A	N/A	N/A	QSARI1									
20	Dr Umar Hayat	"PhD, University of Warwick, UK"	https://scholar.google.com/citations?hl=en&user=4LMxPLsAAAAJ	N/A	N/A	Umarhayat2345	Umarhayat2345									
21	Alejandro Ojeda	"Brain Vision, Brain Products"	https://scholar.google.com/citations?hl=en&user=sxXZxmMAAAAJ	N/A	N/A	ojedaale65	ojedaale65	alejandrojedag	josealejandroop	alejandroojeda	alejandrojeda	OjedaXiqui	ialex7	aojeda1realtor	aleojedarojas	
22	Zhaohan Daniel Guo	DeepMind	https://scholar.google.com/citations?hl=en&user=fxr_9oQAAAAJ	N/A	N/A	levesquejc	levesquejc									
23	Shayan Shams	Assistant Professor at University of Texas Health Science Center at Houston	https://scholar.google.com/citations?hl=en&user=KPB33b8AAAAJ	N/A	N/A	shivauncbates	shivauncbates									
24	Matthew Phillips	LifeOmic	https://scholar.google.com/citations?hl=en&user=nBkeY-IAAAAJ	N/A	N/A	phillips_m_g	phillips_m_g									
25	Ali BOYALI	Toyota Technological Institute	https://scholar.google.com/citations?hl=en&user=Dmh5d3wAAAAJ	N/A	N/A	franmatiasbueno	franmatiasbueno									
26	VICTOR BARRERA NUNEZ	Ernst & Young	https://scholar.google.com/citations?hl=en&user=MB0WzZsAAAAJ	https://twitter.com/vikbar	https://twitter.com/vikbar	vikbar	vikbar									
27	Roman Hornung	"University of Munich, Institute for Medical Information Processing, Biometry, and Epidemiology"	https://scholar.google.com/citations?hl=en&user=BXflckQAAAAJ	https://twitter.com/hornungroman	https://twitter.com/hornungroman	hornungroman	hornungroman									
28	Tomáš Hodaň	Research Scientist at Reality Labs	https://scholar.google.com/citations?hl=en&user=GD_VE9oAAAAJ	https://twitter.com/tomhodan	https://twitter.com/tomhodan	tomhodan	tomhodan									
29	Mudit Agrawal	"PhD, University of Maryland, College Park"	https://scholar.google.com/citations?hl=en&user=4CDW-OwAAAAJ	N/A	N/A	muditagrawal37	mudit_aggarwal	mudit236	2mudit	mudit_agrwal	mudit_ag_	mudit_143	MuditAg29651496	muditagrawal37	mudit_2128	MuditAg43463808
30	Souvik Hazra	Infineon Technologies	https://scholar.google.com/citations?hl=en&user=p2xud0cAAAAJ	N/A	N/A	souvik_hazra	SouvikH16295997	souvikhazra4	737hazra	SouvikH87574084	hazra_79	souvikhazra47	souvikh04524495	Souvikhazra99	souvik_hazra	SouvikHazra78
31	Christopher G. Lucas	University of Edinburgh	https://scholar.google.com/citations?hl=en&user=KS4uI1sAAAAJ	N/A	N/A	alamynews	alamynews									
32	Simon Wells	"Lecturer, Edinburgh Napier University"	https://scholar.google.com/citations?hl=en&user=NJ4EZFwAAAAJ	https://twitter.com/simonwells	https://twitter.com/simonwells	simonwells	simonwells									
33	Moin Nadeem	Massachusetts Institute of Technology	https://scholar.google.com/citations?hl=en&user=elGHiKkAAAAJ	https://twitter.com/moinnadeem	https://twitter.com/moinnadeem	moinnadeem	moinnadeem									
