	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates											
0	Sebastian Gerke	Ree Technology	https://scholar.google.com/citations?hl=en&user=DeP0anAAAAAJ	https://twitter.com/sebgerke	https://twitter.com/sebgerke	sebgerke	sebgerke	sebasgerke	etnc17	j_gehrke	festo_global	lisaboyars	choermoraes	sebastian01983				
1	Yang Liu	"Computer Science, harbin institute of technology"	https://scholar.google.com/citations?hl=en&user=3IC_ZtkAAAAJ	N/A	N/A	YangLiuNLP	YangLiuNLP	zibuyu9	YangCLiu	yangliuxh	LiuYang57	DrCathyLiu	shanghai_1984	LiuTaiYangOffi1	yliu_UofU	Yuanyang_Liu		
2	Son N. Tran	University of Tasmania	https://scholar.google.com/citations?hl=en&user=h82eCK8AAAAJ	https://twitter.com/sondinhtran	https://twitter.com/sondinhtran	sondinhtran	sondinhtran	TrnQuangSn15	sontranthanh	Madiiii_son95	Sontran1304	sntran	NguyenTranSonC2	sonttran	SonTranLotion	sonzaj93		
3	Massimiliano Ciaramita	Google	https://scholar.google.com/citations?hl=en&user=PwsKWfUAAAAJ	N/A	N/A	N/A												
4	Marco Baity-Jesi	Eawag	https://scholar.google.com/citations?hl=en&user=4S1Ajs8AAAAJ	N/A	N/A	N/A												
5	Takuya Funatomi	Nara Institute of Science and Technology	https://scholar.google.com/citations?hl=en&user=OjA6YhgAAAAJ	N/A	N/A	N/A												
6	Saurabh Sawlani	SoundHound Inc.	https://scholar.google.com/citations?hl=en&user=u21gfyUAAAAJ	N/A	N/A	N/A												
7	Sanjay Shukla	"Dunnhumby, Gurgaon"	https://scholar.google.com/citations?hl=en&user=VodphbwAAAAJ	N/A	N/A	N/A												
8	Ting Wang	East China Normal University	https://scholar.google.com/citations?hl=en&user=05FUpSYAAAAJ	N/A	N/A	heac_ting	heac_ting											
9	Stephen Beale	Rensselaer Polytechnic University	https://scholar.google.com/citations?hl=en&user=vtMyXXYAAAAJ	N/A	N/A	stephenbeale	stephenbeale	bealepnk90	_sweste1	stephenbeale1	SBeale_Writer	Shadowheals31	StephenBeale1	bealesteven45				
10	Ziv Epstein	MIT	https://scholar.google.com/citations?hl=en&user=yG7l19UAAAAJ	https://twitter.com/_ziv_e	https://twitter.com/_ziv_e	_ziv_e	_ziv_e	medialab										
11	Tao Wang	Nanjing University	https://scholar.google.com/citations?hl=en&user=TsDufoMAAAAJ	N/A	N/A	ttwwecon	ttwwecon	taowang27112003	zpuadqmcdsgw8yc	taowangcarnegie	TAOWANG_RTP	TaoWang37970200	taowang_tw	taowang72				
12	Rove Chishman	Unisinos	https://scholar.google.com/citations?hl=en&user=M52887sAAAAJ	https://twitter.com/rovechishman	https://twitter.com/rovechishman	rovechishman	rovechishman											
13	Muhammad Khusairi Osman	"Faculty of Electrical Engineering, Universiti Teknologi MARA (UiTM), Malaysia."	https://scholar.google.com/citations?hl=en&user=xshP6DwAAAAJ	N/A	N/A	N/A												
14	Gang Wang	"Associate Professor, Shanghai University of Finance and Economics"	https://scholar.google.com/citations?hl=en&user=aQMjCHwAAAAJ	N/A	N/A	N/A												
15	Max Jaderberg	DeepMind	https://scholar.google.com/citations?hl=en&user=JeZoMicAAAAJ	https://twitter.com/maxjaderberg	https://twitter.com/maxjaderberg	maxjaderberg	maxjaderberg	Andrew__Brown__	senya_ashuha	aosokin_ml								
16	Samet Memiş	İstanbul Rumeli University	https://scholar.google.com/citations?hl=en&user=8TW7mSYAAAAJ	N/A	N/A	samet_memis	samet_memis	samet536	ssamet_memis	hgcva	sametmemis10	sametmemis34	smtmms061	sametmemis				
17	Bishal Lamichhane	Rice University	https://scholar.google.com/citations?hl=en&user=qEh_v1YAAAAJ	https://twitter.com/bshallamichhane	N/A	lbishal_	lbishal_	Bishal9815	CricketBsal	BishalL66051575	BishalBabuLami1	BishalL40863008	bishal_beast	BishalL76062680	BishalL32538000	bishal_73		
